Country,Resource,Stocks and flows,CLASSE,Year,Unit,PowerCode,Value
United States,Copper,Total reductions in stock,A,2016,Tonnes,Millions,1.43
United States,Copper,Total reductions in stock,A,2017,Tonnes,Millions,1.26
United States,Copper,Total reductions in stock,A,2018,Tonnes,Millions,1.2
United States,Copper,Total reductions in stock,A,2012,Tonnes,Millions,1.17
Canada,Copper,Opening stock,A,2014,Tonnes,Millions,0.011
United States,Copper,Total reductions in stock,A,2003,Tonnes,Millions,1.12
Canada,Copper,Extractions,A,2000,Tonnes,Millions,0.001
United States,Copper,Opening stock,A,2018,Tonnes,Millions,45.0
United States,Copper,Opening stock,A,2017,Tonnes,Millions,35.0
United States,Copper,Opening stock,A,2016,Tonnes,Millions,33.0
United States,Copper,Opening stock,A,2015,Tonnes,Millions,35.0
United States,Copper,Opening stock,A,2014,Tonnes,Millions,39.0
United States,Copper,Opening stock,A,2013,Tonnes,Millions,39.0
United States,Copper,Opening stock,A,2019,Tonnes,Millions,48.0
United States,Copper,Opening stock,A,2012,Tonnes,Millions,35.0
Australia,Copper,Closing stock,AB,2016,Tonnes,Millions,87.95
Australia,Copper,Closing stock,AB,2015,Tonnes,Millions,88.45
Australia,Copper,Total reductions in stock,AB,2004,Tonnes,Millions,0.85
Australia,Copper,Total reductions in stock,AB,2012,Tonnes,Millions,0.95
Australia,Copper,Total reductions in stock,AB,2011,Tonnes,Millions,0.95
Australia,Copper,Total reductions in stock,AB,2010,Tonnes,Millions,0.95
Australia,Copper,Closing stock,AB,2017,Tonnes,Millions,87.35
Australia,Copper,Total reductions in stock,AB,2009,Tonnes,Millions,0.9
United States,Copper,Opening stock,A,2011,Tonnes,Millions,35.0
United States,Copper,Extractions,A,2002,Tonnes,Millions,1.14
Australia,Copper,Discrepancies,AB,2000,Tonnes,Millions,1.75
Australia,Copper,Closing stock,AB,2019,Tonnes,Millions,86.2
Australia,Copper,Closing stock,AB,2018,Tonnes,Millions,86.65
United States,Copper,Opening stock,A,2007,Tonnes,Millions,35.0
United States,Copper,Opening stock,A,2009,Tonnes,Millions,35.0
Canada,Copper,Opening stock,A,2003,Tonnes,Millions,0.007
United States,Copper,Extractions,A,2000,Tonnes,Millions,1.44
United States,Copper,Extractions,A,2001,Tonnes,Millions,1.34
United States,Copper,Extractions,A,2008,Tonnes,Millions,1.31
United States,Copper,Extractions,A,2007,Tonnes,Millions,1.17
United States,Copper,Extractions,A,2006,Tonnes,Millions,1.2
United States,Copper,Extractions,A,2005,Tonnes,Millions,1.14
United States,Copper,Extractions,A,2004,Tonnes,Millions,1.16
United States,Copper,Extractions,A,2003,Tonnes,Millions,1.12
United States,Copper,Extractions,A,2009,Tonnes,Millions,1.18
Australia,Copper,Discrepancies,AB,2001,Tonnes,Millions,3.55
Australia,Copper,Total reductions in stock,AB,2008,Tonnes,Millions,0.9
Australia,Copper,Total reductions in stock,AB,2006,Tonnes,Millions,0.9
Australia,Copper,Closing stock,AB,2010,Tonnes,Millions,84.55
Australia,Copper,Closing stock,AB,2008,Tonnes,Millions,73.85
Australia,Copper,Closing stock,AB,2007,Tonnes,Millions,59.75
Australia,Copper,Closing stock,AB,2006,Tonnes,Millions,46.4
Australia,Copper,Closing stock,AB,2005,Tonnes,Millions,41.85
Australia,Copper,Closing stock,AB,2004,Tonnes,Millions,41.45
Australia,Copper,Closing stock,AB,2011,Tonnes,Millions,87.5
Australia,Copper,Closing stock,AB,2003,Tonnes,Millions,38.8
Australia,Copper,Closing stock,AB,2001,Tonnes,Millions,26.35
Australia,Copper,Closing stock,AB,2000,Tonnes,Millions,23.7
Australia,Copper,Total reductions in stock,AB,2019,Tonnes,Millions,0.9
Australia,Copper,Total reductions in stock,AB,2018,Tonnes,Millions,0.9
Australia,Copper,Total reductions in stock,AB,2017,Tonnes,Millions,0.9
Canada,Copper,Opening stock,A,2015,Tonnes,Millions,0.01
Australia,Copper,Closing stock,AB,2002,Tonnes,Millions,32.5
Australia,Copper,Total reductions in stock,AB,2007,Tonnes,Millions,0.9
Australia,Copper,Closing stock,AB,2012,Tonnes,Millions,90.5
Australia,Copper,Total reductions in stock,AB,2016,Tonnes,Millions,0.9
Australia,Copper,Total reductions in stock,AB,2005,Tonnes,Millions,0.9
Australia,Copper,Total reductions in stock,AB,2003,Tonnes,Millions,0.85
Australia,Copper,Closing stock,AB,2014,Tonnes,Millions,89.7
Australia,Copper,Total reductions in stock,AB,2002,Tonnes,Millions,0.9
Australia,Copper,Total reductions in stock,AB,2001,Tonnes,Millions,0.9
Australia,Copper,Total reductions in stock,AB,2000,Tonnes,Millions,0.85
Australia,Copper,Closing stock,AB,2013,Tonnes,Millions,91.45
Australia,Copper,Extractions,AB,2019,Tonnes,Millions,0.9
Canada,Copper,Opening stock,A,2000,Tonnes,Millions,0.008
Canada,Copper,Opening stock,A,2001,Tonnes,Millions,0.007
Canada,Copper,Opening stock,A,2002,Tonnes,Millions,0.007
Australia,Copper,Total reductions in stock,AB,2013,Tonnes,Millions,1.0
Australia,Copper,Total reductions in stock,AB,2014,Tonnes,Millions,1.0
Australia,Copper,Total reductions in stock,AB,2015,Tonnes,Millions,0.95
Australia,Copper,Extractions,AB,2018,Tonnes,Millions,0.9
Australia,Copper,Discrepancies,AB,2002,Tonnes,Millions,7.05
Australia,Copper,Closing stock,AB,2009,Tonnes,Millions,81.05
Australia,Copper,Discrepancies,AB,2004,Tonnes,Millions,3.5
Canada,Copper,Discrepancies,A,2011,Tonnes,Millions,0.002
Canada,Copper,Discrepancies,A,2012,Tonnes,Millions,0.0
Canada,Copper,Discrepancies,A,2013,Tonnes,Millions,0.001
Canada,Copper,Discrepancies,A,2015,Tonnes,Millions,0.0
Canada,Copper,Discrepancies,A,2004,Tonnes,Millions,0.0
Canada,Copper,Discrepancies,A,2016,Tonnes,Millions,0.0
Canada,Copper,Discrepancies,A,2010,Tonnes,Millions,0.002
Australia,Copper,Extractions,AB,2017,Tonnes,Millions,0.9
Australia,Copper,Extractions,AB,2015,Tonnes,Millions,0.95
Australia,Copper,Extractions,AB,2014,Tonnes,Millions,1.0
Australia,Copper,Extractions,AB,2013,Tonnes,Millions,1.0
Australia,Copper,Extractions,AB,2012,Tonnes,Millions,0.95
Australia,Copper,Extractions,AB,2011,Tonnes,Millions,0.95
Canada,Copper,Discrepancies,A,2005,Tonnes,Millions,0.002
Australia,Copper,Extractions,AB,2016,Tonnes,Millions,0.9
Canada,Copper,Discrepancies,A,2003,Tonnes,Millions,0.0
Canada,Copper,Discrepancies,A,2009,Tonnes,Millions,0.0
Canada,Copper,Discrepancies,A,2007,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2009,Tonnes,Millions,0.0
Australia,Copper,Discrepancies,AB,2003,Tonnes,Millions,7.15
Canada,Copper,Extractions,A,2001,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2002,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2003,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2004,Tonnes,Millions,0.001
Canada,Copper,Discrepancies,A,2008,Tonnes,Millions,0.0
Canada,Copper,Extractions,A,2005,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2008,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2014,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2016,Tonnes,Millions,0.001
United States,Copper,Extractions,A,2010,Tonnes,Millions,1.11
Canada,Copper,Discrepancies,A,2014,Tonnes,Millions,0.0
Canada,Copper,Discrepancies,A,2006,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2006,Tonnes,Millions,0.001
Canada,Copper,Closing stock,A,2000,Tonnes,Millions,0.007
Canada,Copper,Extractions,A,2007,Tonnes,Millions,0.001
Canada,Copper,Closing stock,A,2001,Tonnes,Millions,0.007
Canada,Copper,Opening stock,A,2005,Tonnes,Millions,0.006
Canada,Copper,Opening stock,A,2004,Tonnes,Millions,0.006
Australia,Copper,Discrepancies,AB,2007,Tonnes,Millions,14.25
United States,Copper,Opening stock,A,2006,Tonnes,Millions,35.0
United States,Copper,Opening stock,A,2005,Tonnes,Millions,35.0
United States,Copper,Opening stock,A,2004,Tonnes,Millions,35.0
Canada,Copper,Opening stock,A,2006,Tonnes,Millions,0.007
United States,Copper,Opening stock,A,2003,Tonnes,Millions,35.0
United States,Copper,Opening stock,A,2000,Tonnes,Millions,45.0
Australia,Copper,Discrepancies,AB,2008,Tonnes,Millions,15.0
Australia,Copper,Discrepancies,AB,2006,Tonnes,Millions,5.45
Australia,Copper,Discrepancies,AB,2005,Tonnes,Millions,1.3
Canada,Copper,Closing stock,A,2009,Tonnes,Millions,0.007
United States,Copper,Opening stock,A,2008,Tonnes,Millions,35.0
United States,Copper,Opening stock,A,2002,Tonnes,Millions,45.0
Canada,Copper,Discrepancies,A,2001,Tonnes,Millions,0.0
United States,Copper,Opening stock,A,2001,Tonnes,Millions,45.0
Canada,Copper,Closing stock,A,2016,Tonnes,Millions,0.009
Canada,Copper,Discrepancies,A,2000,Tonnes,Millions,0.0
Canada,Copper,Closing stock,A,2004,Tonnes,Millions,0.006
Canada,Copper,Closing stock,A,2005,Tonnes,Millions,0.007
Canada,Copper,Closing stock,A,2006,Tonnes,Millions,0.007
Canada,Copper,Closing stock,A,2008,Tonnes,Millions,0.007
Canada,Copper,Closing stock,A,2010,Tonnes,Millions,0.009
Canada,Copper,Discrepancies,A,2002,Tonnes,Millions,0.001
Canada,Copper,Closing stock,A,2007,Tonnes,Millions,0.008
Canada,Copper,Closing stock,A,2003,Tonnes,Millions,0.006
Canada,Copper,Closing stock,A,2011,Tonnes,Millions,0.011
Canada,Copper,Closing stock,A,2012,Tonnes,Millions,0.01
Canada,Copper,Closing stock,A,2013,Tonnes,Millions,0.011
Canada,Copper,Closing stock,A,2015,Tonnes,Millions,0.01
Canada,Copper,Closing stock,A,2002,Tonnes,Millions,0.007
Canada,Copper,Closing stock,A,2014,Tonnes,Millions,0.01
Netherlands,Crude oil,Opening stock,AB,2013,Barrels,Billions,0.303
Netherlands,Crude oil,Upward reappraisals,AB,2000,Barrels,Billions,0.0
Netherlands,Crude oil,Upward reappraisals,AB,2001,Barrels,Billions,0.0
Netherlands,Crude oil,Upward reappraisals,AB,2002,Barrels,Billions,0.0
Netherlands,Crude oil,Extractions,AB,2012,Barrels,Billions,0.008
Netherlands,Crude oil,Extractions,AB,2009,Barrels,Billions,0.01
Netherlands,Crude oil,Extractions,AB,2010,Barrels,Billions,0.008
Netherlands,Crude oil,Extractions,AB,2013,Barrels,Billions,0.008
Netherlands,Crude oil,Opening stock,AB,2012,Barrels,Billions,0.254
Netherlands,Crude oil,Extractions,AB,2011,Barrels,Billions,0.008
Netherlands,Crude oil,Extractions,AB,2017,Barrels,Billions,0.007
Netherlands,Crude oil,Extractions,AB,2008,Barrels,Billions,0.013
Mexico,Crude oil,Opening stock,A,2001,Barrels,Billions,39.918
Netherlands,Crude oil,Opening stock,AB,2010,Barrels,Billions,0.314
Netherlands,Crude oil,Opening stock,AB,2009,Barrels,Billions,0.216
Netherlands,Crude oil,Opening stock,AB,2008,Barrels,Billions,0.23
Mexico,Crude oil,Opening stock,A,2000,Barrels,Billions,41.495
Mexico,Crude oil,Opening stock,A,2002,Barrels,Billions,38.286
Netherlands,Crude oil,Opening stock,AB,2014,Barrels,Billions,0.296
Mexico,Crude oil,Opening stock,A,2003,Barrels,Billions,36.266
Mexico,Crude oil,Opening stock,A,2005,Barrels,Billions,33.312
Netherlands,Crude oil,Extractions,AB,2014,Barrels,Billions,0.011
Mexico,Crude oil,Opening stock,A,2006,Barrels,Billions,33.093
Mexico,Crude oil,Opening stock,A,2008,Barrels,Billions,31.212
Mexico,Crude oil,Opening stock,A,2007,Barrels,Billions,31.909
Netherlands,Crude oil,Opening stock,AB,2011,Barrels,Billions,0.287
Netherlands,Crude oil,Extractions,AB,2015,Barrels,Billions,0.01
Netherlands,Crude oil,Extractions,AB,2004,Barrels,Billions,0.015
Netherlands,Crude oil,Extractions,AB,2018,Barrels,Billions,0.007
Netherlands,Crude oil,Total additions to stock,AB,2013,Barrels,Billions,0.002
Netherlands,Crude oil,Total additions to stock,AB,2012,Barrels,Billions,0.058
Mexico,Crude oil,Opening stock,A,2009,Barrels,Billions,30.93
Netherlands,Crude oil,Total additions to stock,AB,2009,Barrels,Billions,0.108
Netherlands,Crude oil,Total additions to stock,AB,2007,Barrels,Billions,0.006
Netherlands,Crude oil,Total additions to stock,AB,2006,Barrels,Billions,0.023
Netherlands,Crude oil,Total additions to stock,AB,2003,Barrels,Billions,0.123
Netherlands,Crude oil,Upward reappraisals,AB,2018,Barrels,Billions,0.007
Netherlands,Crude oil,Upward reappraisals,AB,2016,Barrels,Billions,0.006
Netherlands,Crude oil,Upward reappraisals,AB,2013,Barrels,Billions,0.002
Netherlands,Crude oil,Upward reappraisals,AB,2012,Barrels,Billions,0.058
Netherlands,Crude oil,Upward reappraisals,AB,2009,Barrels,Billions,0.108
Netherlands,Crude oil,Upward reappraisals,AB,2007,Barrels,Billions,0.006
Netherlands,Crude oil,Upward reappraisals,AB,2006,Barrels,Billions,0.023
Netherlands,Crude oil,Extractions,AB,2005,Barrels,Billions,0.011
Netherlands,Crude oil,Extractions,AB,2006,Barrels,Billions,0.01
Netherlands,Crude oil,Extractions,AB,2007,Barrels,Billions,0.016
Netherlands,Crude oil,Total reductions in stock,AB,2000,Barrels,Billions,0.011
Netherlands,Crude oil,Downward reappraisals,AB,2017,Barrels,Billions,0.009
Netherlands,Crude oil,Downward reappraisals,AB,2015,Barrels,Billions,0.009
Netherlands,Crude oil,Downward reappraisals,AB,2014,Barrels,Billions,0.067
Netherlands,Crude oil,Downward reappraisals,AB,2011,Barrels,Billions,0.025
Netherlands,Crude oil,Downward reappraisals,AB,2010,Barrels,Billions,0.019
Netherlands,Crude oil,Downward reappraisals,AB,2008,Barrels,Billions,0.001
Netherlands,Crude oil,Downward reappraisals,AB,2005,Barrels,Billions,0.033
Netherlands,Crude oil,Downward reappraisals,AB,2004,Barrels,Billions,0.011
Netherlands,Crude oil,Upward reappraisals,AB,2003,Barrels,Billions,0.123
Netherlands,Crude oil,Extractions,AB,2016,Barrels,Billions,0.007
Mexico,Crude oil,Opening stock,A,2010,Barrels,Billions,30.497
United Kingdom,Crude oil,Opening stock,BC,2016,Barrels,Billions,2.25
Mexico,Crude oil,Opening stock,A,2012,Barrels,Billions,30.613
United Kingdom,Crude oil,Closing stock,BC,2002,Barrels,Billions,1.796
United Kingdom,Crude oil,Opening stock,BC,2015,Barrels,Billions,2.206
United Kingdom,Crude oil,Opening stock,BC,2014,Barrels,Billions,2.008
United Kingdom,Crude oil,Opening stock,BC,2013,Barrels,Billions,2.104
United Kingdom,Crude oil,Opening stock,BC,2012,Barrels,Billions,2.148
United Kingdom,Crude oil,Opening stock,BC,2011,Barrels,Billions,2.118
United Kingdom,Crude oil,Closing stock,BC,2005,Barrels,Billions,1.488
United Kingdom,Crude oil,Opening stock,BC,2010,Barrels,Billions,1.811
United Kingdom,Crude oil,Opening stock,BC,2008,Barrels,Billions,1.51
United Kingdom,Crude oil,Opening stock,BC,2007,Barrels,Billions,1.393
United Kingdom,Crude oil,Opening stock,BC,2006,Barrels,Billions,1.488
United Kingdom,Crude oil,Opening stock,BC,2005,Barrels,Billions,1.525
United Kingdom,Crude oil,Closing stock,BC,2004,Barrels,Billions,1.525
United Kingdom,Crude oil,Opening stock,BC,2004,Barrels,Billions,1.796
Netherlands,Crude oil,Discrepancies,AB,2018,Barrels,Billions,0.0
Netherlands,Crude oil,Discrepancies,AB,2017,Barrels,Billions,-0.001
Netherlands,Crude oil,Discrepancies,AB,2016,Barrels,Billions,0.0
United Kingdom,Crude oil,Opening stock,BC,2009,Barrels,Billions,1.459
Netherlands,Crude oil,Discrepancies,AB,2015,Barrels,Billions,-0.001
United Kingdom,Crude oil,Closing stock,BC,2006,Barrels,Billions,1.393
United Kingdom,Crude oil,Closing stock,BC,2008,Barrels,Billions,1.459
United Kingdom,Crude oil,Discrepancies,BC,2015,Barrels,Billions,0.044
United Kingdom,Crude oil,Discrepancies,BC,2014,Barrels,Billions,0.198
Canada,Crude oil,Discrepancies,A,2015,Barrels,Billions,0.706
Netherlands,Crude oil,Total additions to stock,AB,2016,Barrels,Billions,0.006
United Kingdom,Crude oil,Discrepancies,BC,2012,Barrels,Billions,-0.044
United Kingdom,Crude oil,Opening stock,BC,2003,Barrels,Billions,1.796
Mexico,Crude oil,Opening stock,A,2011,Barrels,Billions,30.56
Netherlands,Crude oil,Total reductions in stock,AB,2004,Barrels,Billions,0.026
Netherlands,Crude oil,Total reductions in stock,AB,2002,Barrels,Billions,0.017
Mexico,Crude oil,Opening stock,A,2013,Barrels,Billions,30.817
Mexico,Crude oil,Opening stock,A,2004,Barrels,Billions,34.389
Netherlands,Crude oil,Total reductions in stock,AB,2001,Barrels,Billions,0.01
Netherlands,Crude oil,Opening stock,AB,2015,Barrels,Billions,0.219
Netherlands,Crude oil,Opening stock,AB,2017,Barrels,Billions,0.197
Netherlands,Crude oil,Discoveries,AB,2018,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2017,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2016,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2015,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2014,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2013,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2012,Barrels,Billions,0.0
Netherlands,Crude oil,Total reductions in stock,AB,2003,Barrels,Billions,0.017
Netherlands,Crude oil,Discoveries,AB,2011,Barrels,Billions,0.0
Netherlands,Crude oil,Opening stock,AB,2016,Barrels,Billions,0.198
Netherlands,Crude oil,Discoveries,AB,2009,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2007,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2006,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2005,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2004,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2003,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2002,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2001,Barrels,Billions,0.0
Netherlands,Crude oil,Discoveries,AB,2000,Barrels,Billions,0.0
Netherlands,Crude oil,Opening stock,AB,2018,Barrels,Billions,0.18
